Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-03-31,119.86719,119.98438,119.77344,,0.03125,120.00781,1538.0,2945.0
2014-03-28,0.0,0.0,119.90625,,0.125,119.97656,3722.0,5740.0
2014-03-27,120.01562,120.13281,119.92969,,0.00625,120.10156,776.0,6488.0
2014-03-26,119.88281,120.15625,119.82812,119.84375,0.209375,120.10938,8204.0,9616.0
2014-03-25,119.85156,119.96875,119.78125,,0.084375,119.89844,4268.0,13329.0
2014-03-24,119.75,119.82812,119.61719,,0.09375,119.8125,4740.0,17749.0
2014-03-21,119.96875,120.01562,119.84375,,0.03125,119.90625,234.0,18369.0
2014-03-20,119.89062,120.00781,119.82031,,0.078125,119.9375,8563.0,24332.0
2014-03-19,120.8125,120.8125,119.78906,,0.75625,120.01562,14832.0,29967.0
2014-03-18,120.71875,120.80469,120.64844,,0.125,120.77344,4921.0,32670.0
2014-03-17,120.8125,120.8125,120.64844,,0.234375,120.64844,6601.0,36321.0
2014-03-14,120.875,121.07812,120.76562,,0.00625,120.88281,7957.0,37059.0
2014-03-13,120.59375,120.95312,120.39844,,0.2875,120.89062,9142.0,42358.0
2014-03-12,120.46875,120.69531,120.4375,120.553125,0.13125,120.60156,13819.0,49694.0
2014-03-11,120.38281,120.49219,120.32031,,0.078125,120.46875,10474.0,52747.0
2014-03-10,120.375,120.42969,120.25,,0.078125,120.39062,9900.0,58686.0
2014-03-07,120.66406,120.70312,120.1875,,0.334375,120.3125,24947.0,68314.0
2014-03-06,120.78906,120.78906,120.57812,120.640625,0.140625,120.64844,32306.0,86561.0
2014-03-05,120.80469,120.84375,120.63281,,0.021875,120.78906,41154.0,101470.0
2014-03-04,121.14062,121.14062,120.75,,0.2875,120.8125,94038.0,135725.0
2014-03-03,121.15625,121.3125,120.92188,,0.19375,121.10156,116013.0,165933.0
2014-02-28,121.01562,121.04688,120.67969,120.75,0.125,120.90625,280001.0,294661.0
2014-02-27,120.94531,121.10156,120.89844,121.021875,0.115625,121.03125,1368840.0,882988.0
2014-02-26,120.73438,120.95312,120.67188,120.09375,0.15625,120.91406,1455471.0,1353349.0
2014-02-25,120.58594,120.79688,120.5625,120.740625,0.19375,120.75781,1098977.0,1606297.0
2014-02-24,120.63281,120.71094,120.46875,120.553125,0.0625,120.5625,789788.0,1848312.0
2014-02-21,120.57031,120.64844,120.42969,120.5375,0.0625,120.625,565985.0,1902188.0
