Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-06-30,120.21875,120.25,120.11719,,0.015625,120.17969,1749.0,21323.0
2014-06-27,120.17969,120.24219,120.11719,,0.03125,120.16406,3533.0,21626.0
2014-06-26,119.92188,120.16406,119.88281,,0.1875,120.13281,2862.0,23791.0
2014-06-25,119.84375,120.09375,119.84375,,0.146875,119.94531,5855.0,24926.0
2014-06-24,119.71875,119.83594,119.63281,,0.125,119.79688,775.0,25591.0
2014-06-23,119.77344,119.82031,119.67188,,0.03125,119.67188,2978.0,27870.0
2014-06-20,119.75,119.83594,119.60938,,0.053125,119.70312,2474.0,28471.0
2014-06-19,119.85938,119.95312,119.64844,,0.15625,119.75781,1285.0,29335.0
2014-06-18,119.59375,119.88281,119.40625,,0.15625,119.60156,1700.0,30007.0
2014-06-17,119.66406,119.73438,119.44531,,0.25,119.44531,5448.0,31732.0
2014-06-16,119.77344,119.78906,119.67188,,0.0375,119.69531,4935.0,32892.0
2014-06-13,119.75,119.79688,119.52344,,0.171875,119.73438,7626.0,35248.0
2014-06-12,119.67188,119.96094,119.63281,,0.178125,119.90625,4304.0,36023.0
2014-06-11,119.625,119.78125,119.54688,,0.06875,119.72656,10769.0,41255.0
2014-06-10,119.78906,119.82031,119.61719,,0.109375,119.65625,11905.0,43781.0
2014-06-09,119.90625,119.90625,119.71094,,0.15625,119.76562,17322.0,50001.0
2014-06-06,120.05469,120.25781,119.89844,119.96875,0.13125,119.92188,9485.0,52780.0
2014-06-05,119.96094,120.17188,119.82812,120.06875,0.1,120.05469,23721.0,64786.0
2014-06-04,119.96094,120.09375,119.88281,119.9125,0.03125,119.95312,33582.0,73063.0
2014-06-03,120.17188,120.1875,119.94531,,0.15625,119.98438,70779.0,99180.0
2014-06-02,120.4375,120.44531,120.10156,,0.35,120.14062,143817.0,181338.0
2014-05-30,120.47656,120.53125,120.32812,,0.053125,120.49219,185100.0,240980.0
2014-05-29,120.57031,120.78125,120.44531,120.6875,0.084375,120.54688,934990.0,556098.0
2014-05-28,120.33594,120.66406,120.32812,120.65625,0.2875,120.63281,1639446.0,1092448.0
2014-05-27,120.3125,120.35938,120.20312,120.303125,,120.34375,1705288.0,1761441.0
2014-05-23,120.22656,120.38281,120.20312,120.359375,0.140625,120.34375,548093.0,1863764.0
2014-05-22,120.3125,120.34375,120.16406,120.203125,0.13125,120.20312,712870.0,1963180.0
2014-05-21,120.375,120.49219,120.17969,120.3125,0.084375,120.33594,747357.0,2065326.0
2014-05-20,120.20312,120.46094,120.17188,120.421875,0.171875,120.42188,578816.0,2058994.0
2014-05-19,120.14844,120.39062,120.13281,120.25,0.053125,120.25,465401.0,2067719.0
2014-05-16,120.25,120.29688,120.125,120.203125,0.046875,120.19531,506559.0,2074150.0
2014-05-15,120.0625,120.38281,119.91406,120.25,0.125,120.24219,1012100.0,2093821.0
2014-05-14,119.84375,120.24219,119.80469,120.125,0.28125,120.11719,788178.0,2103553.0
2014-05-13,119.61719,119.86719,119.5625,119.78125,0.19375,119.83594,524710.0,2075619.0
2014-05-12,119.74219,119.75781,119.58594,119.640625,0.140625,119.64062,380401.0,2055091.0
2014-05-09,119.75,119.84375,119.69531,,0.015625,119.78125,475978.0,2045491.0
2014-05-08,119.58594,119.80469,119.53906,,0.15625,119.79688,754171.0,2047304.0
2014-05-07,119.44531,119.6875,119.33594,119.6,0.1875,119.64062,823872.0,2035538.0
2014-05-06,119.46094,119.52344,119.36719,119.453125,0.00625,119.45312,530738.0,2038037.0
2014-05-05,119.50781,119.63281,119.41406,119.56875,,119.46094,431699.0,2054424.0
2014-05-02,119.52344,119.64844,119.0,119.46875,0.115625,119.46094,1335915.0,2049116.0
