Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-09-30,119.27344,119.34375,119.21875,,0.00625,119.3125,168.0,988.0
2014-09-29,119.24219,119.39844,119.24219,,0.140625,119.30469,1234.0,1501.0
2014-09-26,119.375,119.42188,119.11719,,0.178125,119.16406,848.0,2166.0
2014-09-25,119.15625,119.38281,119.15625,,0.265625,119.34375,2835.0,3812.0
2014-09-24,119.19531,119.22656,119.07031,,0.140625,119.07812,363.0,4090.0
2014-09-23,119.17969,119.21875,119.17969,,0.125,119.21875,2895.0,5646.0
2014-09-22,119.07031,119.14844,118.98438,,0.1875,119.09375,1614.0,6769.0
2014-09-19,118.82031,118.97656,118.65625,,0.09375,118.90625,5033.0,8924.0
2014-09-18,118.89062,118.90625,118.67969,,0.203125,118.8125,3010.0,10504.0
2014-09-17,119.23438,119.4375,118.875,119.234375,0.15625,119.01562,1875.0,11494.0
2014-09-16,119.14062,119.24219,119.07812,119.234375,0.109375,119.17188,5792.0,14549.0
2014-09-15,118.97656,119.10156,118.92188,,0.125,119.0625,4164.0,15730.0
2014-09-12,119.02344,119.05469,118.89062,,0.13125,118.9375,4528.0,17278.0
2014-09-11,119.17188,119.21875,119.0,,0.00625,119.07031,3292.0,18424.0
2014-09-10,119.19531,119.19531,119.0,,0.078125,119.0625,8163.0,21752.0
2014-09-09,119.28125,119.30469,119.08594,,0.209375,119.14062,11223.0,26476.0
2014-09-08,119.54688,119.625,119.32812,,0.140625,119.35156,13151.0,33296.0
2014-09-05,119.30469,119.78125,119.24219,,0.15625,119.49219,33066.0,46002.0
2014-09-04,119.51562,119.65625,119.28906,,0.1,119.33594,42456.0,67500.0
2014-09-03,119.46094,119.51562,119.20312,,0.00625,119.4375,67661.0,97965.0
2014-09-02,119.70312,119.70312,119.25781,,0.271875,119.44531,166400.0,156225.0
2014-08-29,119.6875,119.75781,119.61719,119.703125,0.021875,119.71875,182058.0,213592.0
2014-08-28,119.59375,119.76562,119.58594,119.6625,0.109375,119.69531,965142.0,595607.0
2014-08-27,119.44531,119.64062,119.44531,119.5625,0.115625,119.58594,1560206.0,1281986.0
2014-08-26,119.39062,119.52344,119.38281,119.4375,0.09375,119.46875,1448240.0,1832762.0
2014-08-25,119.41406,119.49219,119.32812,119.359375,0.046875,119.375,839006.0,2007263.0
2014-08-22,119.57812,119.70312,119.30469,,0.1625,119.42188,899345.0,2059612.0
2014-08-21,119.57031,119.67188,119.5,119.578125,0.03125,119.58594,692260.0,2075119.0
2014-08-20,119.82812,119.84375,119.50781,119.521875,0.25625,119.55469,750950.0,2114133.0
2014-08-19,119.83594,120.0,119.78906,119.859375,0.0625,119.8125,428337.0,2111260.0
2014-08-18,119.96875,119.98438,119.80469,119.896875,0.109375,119.875,411170.0,2110915.0
2014-08-15,119.8125,120.21875,119.78125,120.015625,0.140625,119.98438,881099.0,2096586.0
2014-08-14,119.78906,119.96875,119.74219,119.928125,0.0375,119.84375,751737.0,2105542.0
2014-08-13,119.59375,119.83594,119.46875,,0.19375,119.80469,636433.0,2134873.0
2014-08-12,119.57031,119.66406,119.52344,119.5375,0.015625,119.60938,523027.0,2146510.0
2014-08-11,119.53125,119.63281,119.46094,119.6,0.015625,119.59375,459438.0,2142457.0
2014-08-08,119.64062,119.98438,119.53125,,0.0375,119.60938,852980.0,2156311.0
2014-08-07,119.41406,119.6875,119.35156,119.640625,0.240625,119.64844,679683.0,2157490.0
2014-08-06,119.32031,119.53906,119.28125,119.44375,0.078125,119.40625,683141.0,2143058.0
