Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-12-31,119.546875,119.640625,119.546875,,0.1328125,119.6015625,206.0,3597.0
2014-12-30,119.41406,119.53906,119.41406,,0.125,119.46875,2020.0,4671.0
2014-12-29,119.08594,119.36719,119.03125,,0.21875,119.34375,879.0,5016.0
2014-12-26,119.10938,119.16406,119.10938,,0.015625,119.125,9.0,5020.0
2014-12-24,119.05469,119.17969,118.99219,,0.00625,119.10938,81.0,5034.0
2014-12-23,119.5,119.5,119.0625,,0.3125,119.10156,52.0,5064.0
2014-12-22,119.44531,119.54688,119.39844,,0.078125,119.41406,753.0,5580.0
2014-12-19,119.41406,119.63281,119.375,,,119.49219,2388.0,6099.0
2014-12-18,119.67969,119.80469,119.38281,,0.1625,119.49219,6753.0,10421.0
2014-12-17,120.1875,120.25781,119.63281,,0.46875,119.65625,16855.0,11319.0
2014-12-16,120.15625,120.625,120.03125,,0.25,120.125,6497.0,13002.0
2014-12-15,120.08594,120.24219,119.85938,,0.209375,119.875,44035.0,30820.0
2014-12-12,120.00781,120.28125,119.89844,,0.365625,120.08594,6788.0,32619.0
2014-12-11,120.0,120.05469,119.55469,,0.178125,119.71875,16668.0,37449.0
2014-12-10,119.69531,119.97656,119.59375,,0.28125,119.89844,4902.0,40176.0
2014-12-09,119.46875,119.78906,119.375,,0.203125,119.61719,10990.0,45494.0
2014-12-08,119.32812,119.51562,119.10938,,0.06875,119.41406,18380.0,57877.0
2014-12-05,119.875,120.08594,119.28906,119.390625,0.521875,119.34375,17353.0,65148.0
2014-12-04,119.78125,119.92188,119.69531,,0.109375,119.86719,27144.0,80773.0
2014-12-03,119.83594,119.875,119.70312,,0.084375,119.75781,26018.0,85610.0
2014-12-02,120.10938,120.10938,119.82031,,0.3125,119.84375,76961.0,123922.0
2014-12-01,120.25781,120.50781,120.05469,,0.046875,120.15625,115764.0,167547.0
2014-11-28,119.98438,120.25781,119.98438,,0.1875,120.20312,165509.0,262447.0
2014-11-26,119.85938,120.03125,119.84375,119.953125,0.140625,120.01562,935954.0,730232.0
2014-11-25,119.72656,119.89062,119.625,119.865625,0.1625,119.875,1605185.0,1212642.0
2014-11-24,119.65625,119.75781,119.52344,119.640625,0.0625,119.71094,1114214.0,1706643.0
2014-11-21,119.53125,119.67188,119.44531,,0.084375,119.64844,665672.0,1822689.0
2014-11-20,119.42188,119.71094,119.42188,119.553125,0.109375,119.5625,906077.0,1937934.0
2014-11-19,119.57031,119.60938,119.32812,119.428125,0.115625,119.45312,740159.0,1972785.0
2014-11-18,119.5,119.625,119.48438,119.53125,0.1,119.57031,424351.0,1964446.0
2014-11-17,119.53906,119.75781,119.4375,,0.1,119.46875,507775.0,1944718.0
2014-11-14,119.48438,119.61719,119.24219,,0.1,119.57031,564331.0,1935078.0
2014-11-13,119.30469,119.48438,119.25781,119.459375,0.109375,119.46875,468089.0,1935942.0
2014-11-12,119.28125,119.51562,119.24219,,0.109375,119.35938,399059.0,1943693.0
2014-11-11,119.33594,119.375,119.21094,,0.078125,119.25,85897.0,1945898.0
2014-11-10,119.5625,119.78906,119.3125,,0.240625,119.32812,521058.0,1956589.0
2014-11-07,119.15625,119.60156,119.04688,,0.359375,119.57031,875382.0,1934340.0
2014-11-06,119.34375,119.4375,119.11719,119.209375,0.125,119.21094,568221.0,1933253.0
2014-11-05,119.34375,119.375,119.1875,119.271875,0.015625,119.33594,518969.0,1917484.0
2014-11-04,119.36719,119.49219,119.28906,119.421875,,119.32031,513245.0,1919020.0
2014-11-03,119.46875,119.55469,119.15625,,0.109375,119.32031,560107.0,1905967.0
2014-10-31,119.60938,119.67969,119.32812,,0.1625,119.42969,709891.0,1901748.0
2014-10-30,119.52344,119.64844,119.35938,119.59375,0.146875,119.59375,702094.0,1877372.0
2014-10-29,119.875,119.95312,119.33594,119.765625,0.484375,119.44531,800078.0,1879697.0
2014-10-28,119.99219,120.0625,119.84375,119.94375,0.09375,119.92969,503785.0,1886551.0
2014-10-27,119.89844,120.07812,119.80469,,0.084375,120.02344,442211.0,1879617.0
2014-10-24,119.92969,120.15625,119.90625,119.9375,0.021875,119.9375,672501.0,1899425.0
2014-10-23,120.23438,120.30469,119.80469,,0.234375,119.91406,665846.0,1868708.0
2014-10-22,120.21875,120.39844,120.02344,120.109375,0.15625,120.14844,622196.0,1886064.0
2014-10-21,120.28906,120.57031,120.14062,120.171875,0.0375,120.30469,619073.0,1888295.0
2014-10-20,120.20312,120.39844,120.07031,,0.140625,120.34375,617989.0,1894343.0
2014-10-17,120.36719,120.59375,120.11719,,0.21875,120.20312,1027476.0,1922701.0
2014-10-16,120.55469,121.27344,120.27344,120.328125,0.2875,120.42188,1604559.0,1958299.0
2014-10-15,120.03906,121.70312,119.88281,120.734375,0.709375,120.71094,2614772.0,2083985.0
2014-10-14,120.00781,120.1875,119.76562,119.990625,0.115625,120.0,1064827.0,2108333.0
2014-10-13,119.59375,120.03125,119.55469,,0.428125,119.88281,287424.0,2108609.0
2014-10-10,119.41406,119.58594,119.22656,,0.0625,119.45312,719685.0,2107887.0
2014-10-09,119.44531,119.6875,119.33594,119.428125,0.015625,119.39062,1261324.0,2070611.0
2014-10-08,119.07031,119.54688,118.92969,119.078125,0.35,119.375,1152800.0,2079158.0
2014-10-07,118.72656,119.10156,118.6875,119.0375,0.28125,119.02344,780049.0,2084039.0
2014-10-06,118.51562,118.82031,118.46875,118.75625,0.25625,118.74219,683964.0,2137108.0
2014-10-03,118.75,118.75781,118.32031,118.4125,0.1875,118.48438,1100362.0,2122282.0
2014-10-02,118.78906,118.92188,118.65625,118.771875,0.078125,118.67188,992538.0,2109298.0
2014-10-01,118.35938,118.8125,118.28906,,0.490625,118.75,1099155.0,2094830.0
2014-09-30,118.35938,118.36719,118.16406,118.265625,0.046875,118.25781,768842.0,2114916.0
2014-09-29,118.1875,118.39062,118.13281,118.303125,0.140625,118.30469,652335.0,2117265.0
2014-09-26,118.39844,118.46875,118.09375,118.15625,0.209375,118.16406,1011507.0,2118084.0
2014-09-25,118.10156,118.42969,118.08594,118.31875,0.28125,118.375,768289.0,2116860.0
2014-09-24,118.25,118.26562,118.07812,118.234375,0.1625,118.09375,575126.0,2123161.0
2014-09-23,118.13281,118.27344,118.13281,,0.125,118.25781,594513.0,2140020.0
2014-09-22,117.95312,118.17969,117.9375,118.125,0.203125,118.13281,605345.0,2169957.0
2014-09-19,117.84375,117.97656,117.65625,117.875,0.084375,117.92969,720186.0,2160138.0
2014-09-18,117.88281,117.9375,117.6875,117.78125,0.209375,117.84375,989700.0,2104467.0
2014-09-17,118.1875,118.5,117.89844,118.2875,0.1625,118.05469,1132640.0,2100509.0
2014-09-16,118.13281,118.29688,118.11719,,0.115625,118.21875,714080.0,2133044.0
2014-09-15,118.0,118.15625,117.94531,,0.125,118.10156,533146.0,2154579.0
2014-09-12,118.07812,118.10938,117.92188,118.0375,0.146875,117.97656,934139.0,2127323.0
2014-09-11,118.08594,118.27344,118.05469,118.225,0.00625,118.125,731419.0,2111007.0
2014-09-10,118.1875,118.24219,118.05469,,0.084375,118.11719,707727.0,2108015.0
2014-09-09,118.36719,118.39062,118.14844,,0.21875,118.20312,843353.0,2060918.0
2014-09-08,118.53125,118.71875,118.39062,118.428125,0.146875,118.42188,624092.0,2071442.0
2014-09-05,118.42969,118.86719,118.29688,118.56875,0.1625,118.57031,958680.0,2080348.0
2014-09-04,118.58594,118.74219,118.34375,118.396875,0.115625,118.40625,844163.0,2050301.0
2014-09-03,118.54688,118.60156,118.28125,,0.00625,118.52344,679171.0,2059863.0
2014-09-02,118.79688,118.82031,118.52344,,0.303125,118.53125,753826.0,2030220.0
2014-08-29,118.82031,118.875,118.71875,118.81875,0.03125,118.83594,664207.0,1965195.0
2014-08-28,118.71094,118.85938,118.6875,,0.115625,118.80469,707762.0,1648072.0
2014-08-27,118.57031,118.73438,118.55469,118.69375,0.115625,118.6875,1167300.0,1011597.0
2014-08-26,118.50781,118.64062,118.49219,,0.084375,118.57031,992964.0,453297.0
2014-08-25,118.52344,118.59375,118.4375,,0.0375,118.48438,424465.0,188824.0
2014-08-22,118.67969,118.82031,118.41406,,0.171875,118.52344,113159.0,133165.0
2014-08-21,118.65625,118.77344,118.61719,,0.03125,118.69531,54995.0,107731.0
2014-08-20,118.98438,118.98438,118.625,,0.271875,118.66406,86931.0,56085.0
2014-08-19,118.94531,119.13281,118.92188,,0.0625,118.9375,10061.0,50968.0
2014-08-18,119.02344,119.05469,118.9375,,0.109375,119.0,6277.0,48042.0
2014-08-15,118.90625,119.35938,118.89062,,0.146875,119.10938,14555.0,40457.0
2014-08-14,118.86719,119.07812,118.86719,,0.046875,118.96094,7790.0,36870.0
2014-08-13,118.67969,118.9375,118.58594,,0.19375,118.91406,5981.0,35963.0
2014-08-12,118.65625,118.75781,118.64062,,0.021875,118.71875,7768.0,33801.0
2014-08-11,118.61719,118.73438,118.5625,,0.00625,118.69531,3300.0,33796.0
2014-08-08,118.97656,119.08594,118.63281,,0.046875,118.70312,9193.0,28377.0
2014-08-07,118.5625,118.77344,118.44531,,0.25,118.75,2910.0,27990.0
2014-08-06,118.5,118.63281,118.375,,0.078125,118.5,5039.0,24062.0
2014-08-05,118.50781,118.53906,118.27344,,0.03125,118.42188,5450.0,22300.0
2014-08-04,118.39844,118.54688,118.32812,,0.078125,118.45312,3852.0,19291.0
2014-08-01,117.84375,118.46875,117.84375,,0.475,118.375,2382.0,18406.0
2014-07-31,117.875,117.9375,117.67188,,0.03125,117.89844,4020.0,15716.0
2014-07-30,118.23438,118.23438,117.67188,,0.359375,117.86719,2542.0,14460.0
2014-07-29,118.125,118.24219,118.07812,,0.115625,118.22656,483.0,14131.0
2014-07-28,118.17969,118.24219,118.0625,,0.13125,118.10938,3297.0,12745.0
2014-07-25,118.09375,118.25781,118.03906,,0.125,118.24219,3179.0,12253.0
2014-07-24,118.20312,118.20312,118.0625,,0.25625,118.11719,2132.0,11268.0
2014-07-23,118.32031,118.40625,118.29688,,0.0625,118.375,1187.0,10446.0
2014-07-22,118.14844,118.32031,118.09375,,0.15625,118.3125,1761.0,9375.0
2014-07-21,118.25,118.32031,118.15625,,0.084375,118.15625,5129.0,7435.0
2014-07-18,118.3125,118.53125,118.20312,,0.084375,118.24219,5002.0,5436.0
2014-07-17,118.23438,118.51562,118.23438,,0.265625,118.32812,881.0,4888.0
2014-07-16,118.05469,118.17969,118.03125,,0.0625,118.0625,1023.0,3983.0
2014-07-15,0.0,118.41406,118.07812,,0.115625,118.125,684.0,3656.0
2014-07-14,118.27344,118.27344,118.24219,,0.171875,118.24219,369.0,3322.0
2014-07-11,118.41406,118.50781,118.28125,,0.046875,118.41406,214.0,3297.0
2014-07-10,118.30469,118.60156,118.30469,,0.146875,118.36719,616.0,2825.0
2014-07-09,118.0,118.23438,117.84375,,0.109375,118.21875,2731.0,204.0
2014-07-08,118.09375,118.17188,118.09375,,0.21875,118.10938,171.0,42.0
2014-07-07,0.0,0.0,117.83594,,0.021875,117.89062,1.0,41.0
2014-07-03,117.78125,118.11719,117.78125,,0.1875,117.91406,16.0,39.0
2014-07-02,118.57812,118.57812,118.0625,,0.271875,118.10156,43.0,0.0
2014-07-01,0.0,0.0,118.48438,,0.15625,118.375,0.0,0.0
2014-06-30,0.0,0.0,0.0,,0.06875,118.53125,0.0,0.0
2014-06-27,0.0,0.0,0.0,,0.0375,118.46094,0.0,0.0
2014-06-26,0.0,0.0,0.0,,0.19375,118.42188,0.0,0.0
2014-06-25,0.0,118.08594,0.0,,0.1625,118.22656,0.0,0.0
2014-06-24,0.0,0.0,0.0,,0.13125,118.0625,0.0,0.0
2014-06-23,0.0,0.0,0.0,,0.0375,117.92969,0.0,0.0
2014-06-20,0.0,0.0,0.0,,0.053125,117.96875,0.0,0.0
2014-06-19,0.0,117.98438,0.0,,0.15625,118.02344,0.0,0.0
2014-06-18,0.0,0.0,0.0,,0.171875,117.86719,0.0,0.0
2014-06-17,0.0,0.0,117.82031,,0.265625,117.69531,0.0,0.0
2014-06-16,0.0,0.0,0.0,,0.0375,117.96094,0.0,0.0
2014-06-13,0.0,0.0,0.0,,0.1875,118.0,0.0,0.0
2014-06-12,0.0,0.0,0.0,,0.203125,118.1875,0.0,0.0
2014-06-11,0.0,0.0,0.0,,0.06875,117.98438,0.0,0.0
2014-06-10,0.0,0.0,0.0,,0.115625,117.91406,0.0,0.0
2014-06-09,0.0,0.0,0.0,,0.1875,118.03125,0.0,0.0
2014-06-06,0.0,0.0,0.0,,0.140625,118.21875,0.0,0.0
2014-06-05,0.0,0.0,0.0,,0.0375,118.35938,0.0,0.0
2014-06-04,0.0,0.0,0.0,,0.06875,118.32031,0.0,0.0
2014-06-03,0.0,0.0,0.0,,0.1875,118.39062,0.0,0.0
2014-06-02,0.0,0.0,0.0,,1.178125,118.57812,0.0,0.0
2014-05-30,0.0,0.0,0.0,,0.053125,119.75781,0.0,0.0
2014-05-29,0.0,0.0,0.0,,0.09375,119.8125,0.0,0.0
2014-05-28,0.0,0.0,0.0,,0.3125,119.90625,0.0,0.0
2014-05-27,0.0,0.0,0.0,,,119.59375,0.0,0.0
2014-05-23,0.0,0.0,0.0,,0.13125,119.59375,0.0,0.0
2014-05-22,0.0,0.0,0.0,,0.115625,119.46094,0.0,0.0
2014-05-21,0.0,0.0,0.0,,0.1,119.57812,0.0,0.0
2014-05-20,0.0,0.0,0.0,,0.178125,119.67969,0.0,0.0
2014-05-19,0.0,0.0,0.0,,0.053125,119.5,0.0,0.0
2014-05-16,0.0,0.0,0.0,,0.046875,119.44531,0.0,0.0
2014-05-15,0.0,0.0,0.0,,0.140625,119.49219,0.0,0.0
2014-05-14,0.0,0.0,0.0,,0.303125,119.35156,0.0,0.0
2014-05-13,0.0,0.0,0.0,,0.203125,119.04688,0.0,0.0
2014-05-12,0.0,0.0,0.0,,0.146875,118.84375,0.0,0.0
2014-05-09,0.0,0.0,0.0,,0.021875,118.99219,0.0,0.0
2014-05-08,0.0,0.0,0.0,,0.1625,119.01562,0.0,0.0
2014-05-07,0.0,0.0,0.0,,0.19375,118.85156,0.0,0.0
2014-05-06,0.0,0.0,0.0,,,118.65625,0.0,0.0
2014-05-05,0.0,0.0,0.0,,,118.65625,0.0,0.0
2014-05-02,0.0,0.0,0.0,,0.115625,118.65625,0.0,0.0
2014-05-01,0.0,0.0,0.0,,0.146875,118.77344,0.0,0.0
2014-04-30,0.0,0.0,0.0,,0.31875,118.625,0.0,0.0
2014-04-29,0.0,0.0,0.0,,0.078125,118.30469,0.0,0.0
2014-04-28,0.0,0.0,0.0,,0.0375,118.38281,0.0,0.0
2014-04-25,0.0,0.0,0.0,,0.0625,118.34375,0.0,0.0
2014-04-24,0.0,0.0,0.0,,0.00625,118.28125,0.0,0.0
2014-04-23,0.0,0.0,0.0,,0.1875,118.28906,0.0,0.0
2014-04-22,0.0,0.0,0.0,,0.115625,118.10156,0.0,0.0
2014-04-21,0.0,0.0,0.0,,0.0625,118.21875,0.0,0.0
2014-04-17,0.0,0.0,0.0,,0.375,118.15625,0.0,0.0
2014-04-16,0.0,0.0,0.0,,0.178125,118.53125,0.0,0.0
2014-04-15,0.0,0.0,0.0,,0.09375,118.71094,0.0,0.0
2014-04-14,0.0,0.0,0.0,,0.178125,118.80469,0.0,0.0
2014-04-11,0.0,0.0,0.0,,0.046875,118.98438,0.0,0.0
2014-04-10,0.0,0.0,0.0,,0.303125,118.9375,0.0,0.0
2014-04-09,0.0,0.0,0.0,,0.209375,118.63281,0.0,0.0
2014-04-08,0.0,0.0,0.0,,0.053125,118.42188,0.0,0.0
2014-04-07,0.0,0.0,0.0,,0.146875,118.36719,0.0,0.0
2014-04-04,0.0,0.0,0.0,,0.40625,118.21875,0.0,0.0
2014-04-03,0.0,0.0,0.0,,0.0375,117.8125,0.0,0.0
2014-04-02,0.0,0.0,0.0,,0.271875,117.77344,0.0,0.0
2014-04-01,0.0,0.0,0.0,,0.115625,118.04688,0.0,0.0
2014-03-31,0.0,0.0,0.0,,0.00625,118.16406,0.0,0.0
2014-03-28,0.0,0.0,0.0,,0.178125,118.17188,0.0,0.0
2014-03-27,0.0,0.0,0.0,,0.00625,118.35156,0.0,0.0
2014-03-26,0.0,0.0,0.0,,0.1625,118.35938,0.0,0.0
2014-03-25,0.0,0.0,0.0,,0.084375,118.19531,0.0,0.0
2014-03-24,0.0,0.0,0.0,,0.25,118.10938,0.0,0.0
2014-03-21,0.0,0.0,0.0,,0.03125,118.35938,0.0,0.0
2014-03-20,0.0,0.0,0.0,,0.240625,118.39062,0.0,0.0
2014-03-19,0.0,0.0,0.0,,0.78125,118.63281,0.0,0.0
2014-03-18,0.0,0.0,0.0,,0.125,119.41406,0.0,0.0
2014-03-17,0.0,0.0,0.0,,0.234375,119.28906,0.0,0.0
2014-03-14,0.0,0.0,0.0,,,119.52344,0.0,0.0
2014-03-13,0.0,0.0,0.0,,,119.52344,0.0,0.0
2014-03-12,0.0,0.0,0.0,,0.146875,119.52344,0.0,0.0
2014-03-11,0.0,0.0,0.0,,0.078125,119.375,0.0,0.0
2014-03-10,0.0,0.0,0.0,,0.084375,119.29688,0.0,0.0
2014-03-07,0.0,0.0,0.0,,0.365625,119.21094,0.0,0.0
2014-03-06,0.0,0.0,0.0,,0.15625,119.57812,0.0,0.0
2014-03-05,0.0,0.0,0.0,,0.03125,119.73438,0.0,0.0
2014-03-04,0.0,0.0,0.0,,0.03125,119.76562,0.0,0.0
2014-03-03,0.0,0.0,0.0,,0.21875,120.07812,0.0,0.0
2014-02-28,0.0,0.0,0.0,,0.115625,119.85938,0.0,0.0
2014-02-27,0.0,0.0,0.0,,0.109375,119.97656,0.0,0.0
2014-02-26,0.0,0.0,0.0,,0.140625,119.86719,0.0,0.0
2014-02-25,0.0,0.0,0.0,,0.203125,119.72656,0.0,0.0
2014-02-24,0.0,0.0,0.0,,0.0625,119.52344,0.0,0.0
2014-02-21,0.0,0.0,0.0,,0.06875,119.58594,0.0,0.0
2014-02-20,0.0,0.0,0.0,,0.15625,119.51562,0.0,0.0
2014-02-19,0.0,0.0,0.0,,0.178125,119.67188,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.240625,119.85156,0.0,0.0
2014-02-14,0.0,0.0,0.0,,,119.60938,0.0,0.0
2014-02-13,0.0,0.0,0.0,,,119.69531,0.0,0.0
2014-02-12,0.0,0.0,0.0,,,119.36719,0.0,0.0
2014-02-11,0.0,0.0,0.0,,,119.5625,0.0,0.0
2014-02-10,0.0,0.0,0.0,,,119.8125,0.0,0.0
2014-02-07,0.0,0.0,0.0,,,119.875,0.0,0.0
2014-02-06,0.0,0.0,0.0,,,119.59375,0.0,0.0
2014-02-05,0.0,0.0,0.0,,,119.71094,0.0,0.0
2014-02-04,0.0,0.0,0.0,,,119.84375,0.0,0.0
2014-02-03,0.0,0.0,0.0,,,119.94531,0.0,0.0
2014-01-31,0.0,0.0,0.0,,,119.58594,0.0,0.0
2014-01-30,0.0,0.0,0.0,,,119.42969,0.0,0.0
2014-01-29,0.0,0.0,0.0,,,119.52344,0.0,0.0
2014-01-28,0.0,0.0,0.0,,,119.17969,0.0,0.0
2014-01-27,0.0,0.0,0.0,,,119.00781,0.0,0.0
2014-01-24,0.0,0.0,0.0,,,119.10156,0.0,0.0
2014-01-23,0.0,0.0,0.0,,,118.97656,0.0,0.0
2014-01-22,0.0,0.0,0.0,,,118.42188,0.0,0.0
2014-01-21,0.0,0.0,0.0,,,118.67969,0.0,0.0
2014-01-17,0.0,0.0,0.0,,,118.74219,0.0,0.0
2014-01-16,0.0,0.0,0.0,,,118.66406,0.0,0.0
2014-01-15,0.0,0.0,0.0,,,118.50781,0.0,0.0
2014-01-14,0.0,0.0,0.0,,,118.63281,0.0,0.0
2014-01-13,0.0,0.0,0.0,,,118.92188,0.0,0.0
2014-01-10,0.0,0.0,0.0,,,118.75,0.0,0.0
2014-01-09,0.0,0.0,0.0,,,118.125,0.0,0.0
2014-01-08,0.0,0.0,0.0,,,118.03906,0.0,0.0
2014-01-07,0.0,0.0,0.0,,,118.52344,0.0,0.0
2014-01-06,0.0,0.0,0.0,,,118.41406,0.0,0.0
2014-01-03,0.0,0.0,0.0,,,118.25781,0.0,0.0
2014-01-02,0.0,0.0,0.0,,,118.375,0.0,0.0
2013-12-31,0.0,0.0,0.0,,,119.3125,0.0,0.0
2013-12-30,0.0,0.0,0.0,,,119.40625,0.0,0.0
2013-12-27,0.0,0.0,0.0,,,119.26562,0.0,0.0
2013-12-26,0.0,0.0,0.0,,,119.25781,0.0,0.0
2013-12-24,0.0,0.0,0.0,,,119.25781,0.0,0.0
2013-12-23,0.0,0.0,0.0,,,119.51562,0.0,0.0
2013-12-20,0.0,0.0,0.0,,,119.61719,0.0,0.0
2013-12-19,0.0,0.0,0.0,,,119.75,0.0,0.0
2013-12-18,0.0,0.0,0.0,,,120.21875,0.0,0.0
2013-12-17,0.0,0.0,0.0,,,120.28125,0.0,0.0
2013-12-16,0.0,0.0,0.0,,,120.09375,0.0,0.0
2013-12-13,0.0,0.0,0.0,,,120.07812,0.0,0.0
2013-12-12,0.0,0.0,0.0,,,120.08594,0.0,0.0
2013-12-11,0.0,0.0,0.0,,,120.30469,0.0,0.0
2013-12-10,0.0,0.0,0.0,,,120.49219,0.0,0.0
2013-12-09,0.0,0.0,0.0,,,120.25,0.0,0.0
2013-12-06,0.0,0.0,0.0,,,120.21094,0.0,0.0
2013-12-05,0.0,0.0,0.0,,,120.35156,0.0,0.0
2013-12-04,0.0,0.0,0.0,,,120.53125,0.0,0.0
2013-12-03,0.0,0.0,0.0,,,120.80469,0.0,0.0
2013-12-02,0.0,0.0,0.0,,,120.64844,0.0,0.0
2013-11-29,0.0,0.0,0.0,,,120.92188,0.0,0.0
2013-11-27,0.0,0.0,0.0,,,120.97656,0.0,0.0
2013-11-26,0.0,0.0,0.0,,,121.08594,0.0,0.0
2013-11-25,0.0,0.0,0.0,,,120.88281,0.0,0.0
2013-11-22,0.0,0.0,0.0,,,120.8125,0.0,0.0
2013-11-21,0.0,0.0,0.0,,,120.78125,0.0,0.0
2013-11-20,0.0,0.0,0.0,,,120.75,0.0,0.0
2013-11-19,0.0,0.0,0.0,,,120.75781,0.0,0.0
2013-11-18,0.0,0.0,0.0,,,120.95312,0.0,0.0
2013-11-15,0.0,0.0,0.0,,,120.8125,0.0,0.0
2013-11-14,0.0,0.0,0.0,,,120.85156,0.0,0.0
2013-11-13,0.0,0.0,0.0,,,120.53906,0.0,0.0
2013-11-12,0.0,0.0,0.0,,,120.25,0.0,0.0
2013-11-11,0.0,0.0,0.0,,,120.39062,0.0,0.0
2013-11-08,0.0,0.0,0.0,,,120.44531,0.0,0.0
2013-11-07,0.0,0.0,0.0,,,120.94531,0.0,0.0
2013-11-06,0.0,0.0,0.0,,,120.82031,0.0,0.0
2013-11-05,0.0,0.0,0.0,,,120.57031,0.0,0.0
