Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2016-01-20,25.8,29.6,25.65,28.3,27.4,1.55,4518.0,0.0,30666.0
2016-01-19,26.7,27.45,23.94,25.85,25.85,-0.62,113210.0,99.0,39564.0
2016-01-15,23.55,28.45,23.3,26.5,26.475,2.9,174498.0,696.0,46767.0
2016-01-14,24.65,25.75,22.67,23.55,23.575,-1.15,147800.0,0.0,52916.0
2016-01-13,22.05,25.38,20.8,24.75,24.725,2.65,134421.0,0.0,59288.0
2016-01-12,23.45,24.47,21.65,22.05,22.075,-1.4,117476.0,0.0,63606.0
2016-01-11,25.25,26.45,23.09,23.45,23.475,-1.8,167659.0,1614.0,72413.0
2016-01-08,23.5,25.35,21.33,25.25,25.275,1.75,143971.0,273.0,76454.0
2016-01-07,20.35,23.65,20.08,23.54,23.525,3.2,194981.0,0.0,85956.0
2016-01-06,19.4,21.51,19.35,20.34,20.325,0.9,120839.0,0.0,84410.0
2016-01-05,19.85,20.66,19.25,19.45,19.425,-0.4,97979.0,0.0,91176.0
2016-01-04,18.5,21.27,18.25,19.8,19.825,1.3,144540.0,0.0,102894.0
2015-12-31,18.35,18.73,18.05,18.5,18.525,0.18,60126.0,0.0,109362.0
2015-12-30,17.5,18.4,17.4,18.3,18.35,0.88,50902.0,0.0,114355.0
2015-12-29,17.85,18.0,17.45,17.5,17.475,-0.35,61572.0,0.0,125719.0
2015-12-28,18.15,18.88,17.8,17.8,17.825,-0.4,65767.0,0.0,124531.0
2015-12-24,17.85,18.25,17.8,18.25,18.225,0.35,27700.0,0.0,131161.0
2015-12-23,17.85,18.2,17.3,17.9,17.875,0.05,85650.0,0.0,136881.0
2015-12-22,18.85,19.2,17.75,17.85,17.825,-1.0,87957.0,0.0,134139.0
2015-12-21,20.4,20.4,18.8,18.81,18.825,-1.6,87439.0,0.0,133797.0
2015-12-18,19.2,20.5,18.95,20.4,20.425,1.15,141283.0,0.0,141009.0
2015-12-17,18.1,19.3,17.65,19.3,19.275,1.15,118506.0,0.0,140285.0
2015-12-16,18.9,19.0,17.55,18.1,18.125,-0.75,135461.0,0.0,152998.0
2015-12-15,20.4,20.5,18.85,18.9,18.875,-1.55,118255.0,0.0,156638.0
2015-12-14,22.05,22.43,19.8,20.42,20.425,-1.5,174688.0,1957.0,152861.0
2015-12-11,19.15,22.0,18.85,21.95,21.925,2.8,187605.0,0.0,142341.0
2015-12-10,19.0,19.23,18.35,19.1,19.125,0.1,72619.0,0.0,130949.0
2015-12-09,18.35,19.34,17.79,19.02,19.025,0.7,98317.0,0.0,122499.0
2015-12-08,17.55,18.57,17.47,18.3,18.325,0.8,76743.0,1000.0,116468.0
2015-12-07,17.3,18.27,17.13,17.5,17.525,0.2,59977.0,0.0,111434.0
2015-12-04,18.54,18.55,17.25,17.3,17.325,-1.2,94936.0,0.0,110976.0
2015-12-03,17.6,19.1,17.15,18.5,18.525,0.95,103054.0,0.0,105641.0
2015-12-02,17.15,17.83,16.9,17.55,17.575,0.45,71544.0,0.0,96394.0
2015-12-01,17.8,17.82,17.0,17.1,17.125,-0.65,60433.0,0.0,91667.0
2015-11-30,18.0,18.15,17.75,17.8,17.775,-0.25,40487.0,0.0,77162.0
2015-11-27,17.8,18.05,17.55,18.05,18.025,0.25,26425.0,0.0,70780.0
2015-11-25,18.3,18.45,17.75,17.75,17.775,-0.55,42814.0,0.0,66875.0
2015-11-24,17.85,18.57,17.78,18.3,18.325,0.5,47031.0,0.0,58932.0
2015-11-23,18.3,18.6,17.8,17.8,17.825,-0.45,34629.0,0.0,53474.0
2015-11-20,18.85,18.88,18.25,18.3,18.275,-0.55,33678.0,0.0,46437.0
2015-11-19,18.3,19.0,18.0,18.85,18.825,0.5,31884.0,0.0,39209.0
2015-11-18,18.75,18.99,18.1,18.35,18.325,-0.45,38749.0,0.0,35544.0
2015-11-17,18.5,19.35,18.1,18.77,18.775,0.3,33777.0,0.0,34076.0
2015-11-16,20.25,20.65,18.45,18.45,18.475,-1.65,25588.0,0.0,29562.0
2015-11-13,19.1,20.23,19.0,20.15,20.125,1.0,26171.0,0.0,27951.0
2015-11-12,18.0,19.25,17.73,19.12,19.125,1.15,20309.0,0.0,30555.0
2015-11-11,17.7,18.0,17.48,18.0,17.975,0.3,13126.0,0.0,31775.0
2015-11-10,18.05,18.3,17.55,17.7,17.675,-0.4,15164.0,0.0,29681.0
2015-11-09,17.45,18.25,17.33,18.09,18.075,0.68,21526.0,0.0,29462.0
2015-11-06,17.7,18.06,17.37,17.37,17.4,-0.28,21025.0,0.0,29118.0
2015-11-05,18.15,18.27,17.68,17.7,17.675,-0.5,12222.0,0.0,28377.0
2015-11-04,17.75,18.2,17.48,18.16,18.175,0.4,11489.0,0.0,27535.0
2015-11-03,17.55,17.8,17.31,17.8,17.775,0.25,9394.0,0.0,26054.0
2015-11-02,18.15,18.4,17.27,17.51,17.525,-0.65,9976.0,0.0,25231.0
2015-10-30,17.95,18.3,17.67,18.18,18.175,0.35,10492.0,0.0,24943.0
2015-10-29,17.75,18.15,17.68,17.84,17.825,0.1,8429.0,0.0,24998.0
2015-10-28,18.1,18.5,17.63,17.7,17.725,-0.28,13202.0,0.0,25135.0
2015-10-27,18.3,18.6,17.95,18.03,18.0,-0.32,12167.0,400.0,24460.0
2015-10-26,18.02,18.48,17.95,18.33,18.325,0.3,9057.0,0.0,23820.0
2015-10-23,17.7,18.1,17.3,18.05,18.025,0.32,12299.0,0.0,23520.0
2015-10-22,19.2,19.2,17.65,17.69,17.7,-1.52,12409.0,0.0,23940.0
2015-10-21,18.45,19.25,17.95,19.25,19.225,0.8,11883.0,0.0,23533.0
2015-10-20,17.7,18.45,17.55,18.45,18.425,0.75,10788.0,0.0,23664.0
2015-10-19,18.5,18.75,17.65,17.7,17.675,-0.85,11234.0,0.0,24143.0
2015-10-16,18.45,19.07,18.4,18.55,18.525,0.05,7328.0,0.0,22334.0
2015-10-15,19.7,19.74,18.43,18.45,18.475,-1.25,8779.0,0.0,22823.0
2015-10-14,19.4,20.05,19.25,19.74,19.725,0.25,7906.0,4.0,22407.0
2015-10-13,18.4,19.53,18.3,19.5,19.475,1.15,9133.0,0.0,22131.0
2015-10-12,19.4,19.47,18.35,18.35,18.325,-1.0,10021.0,0.0,22099.0
2015-10-09,19.25,19.74,19.15,19.3,19.325,0.05,6885.0,0.0,21024.0
2015-10-08,19.74,20.05,19.05,19.25,19.275,-0.4,7462.0,0.0,21828.0
2015-10-07,20.35,20.45,19.65,19.65,19.675,-0.65,4579.0,0.0,21252.0
2015-10-06,19.95,20.41,19.75,20.35,20.325,0.4,4992.0,0.0,21452.0
2015-10-05,20.9,21.0,19.9,19.9,19.925,-0.85,8302.0,0.0,21051.0
2015-10-02,21.55,22.22,20.75,20.75,20.775,-0.75,6704.0,0.0,20977.0
2015-10-01,21.95,22.28,21.39,21.55,21.525,-0.45,6552.0,0.0,21325.0
2015-09-30,22.37,22.37,21.67,22.0,21.975,-0.35,8594.0,0.0,21673.0
2015-09-29,22.29,22.62,21.78,22.35,22.325,0.1,8793.0,0.0,21138.0
2015-09-28,21.5,22.65,21.25,22.25,22.225,0.65,9713.0,0.0,21792.0
2015-09-25,21.2,21.7,20.38,21.55,21.575,0.35,5928.0,0.0,21574.0
2015-09-24,20.76,21.9,20.6,21.2,21.225,0.5,7400.0,0.0,21254.0
2015-09-23,21.2,21.69,20.58,20.75,20.725,-0.35,7879.0,0.0,21358.0
2015-09-22,20.15,21.68,20.09,21.05,21.075,0.9,11017.0,0.0,21981.0
2015-09-21,20.95,21.38,20.15,20.2,20.175,-0.85,8037.0,0.0,22714.0
2015-09-18,20.0,21.25,19.97,21.0,21.025,0.8,12462.0,0.0,23948.0
2015-09-17,19.6,20.3,18.88,20.2,20.225,0.6,14545.0,0.0,25440.0
2015-09-16,20.91,21.0,19.6,19.6,19.625,-1.3,14243.0,0.0,26880.0
2015-09-15,22.47,22.65,20.85,20.95,20.925,-1.55,12673.0,0.0,27305.0
2015-09-14,22.49,23.08,22.3,22.5,22.475,-0.05,6203.0,0.0,25613.0
2015-09-11,22.8,23.1,22.45,22.6,22.525,-0.15,4961.0,0.0,24989.0
2015-09-10,23.3,23.7,22.6,22.65,22.675,-0.42,6560.0,0.0,24737.0
2015-09-09,22.9,23.2,22.15,23.15,23.1,0.3,8281.0,0.0,24413.0
2015-09-08,23.75,23.9,22.75,22.85,22.8,-1.15,6129.0,0.0,24055.0
2015-09-04,23.14,24.3,23.05,23.9,23.95,0.85,6324.0,0.0,24002.0
2015-09-03,22.86,23.6,22.3,23.1,23.1,0.18,8320.0,0.0,23817.0
2015-09-02,23.97,24.14,22.9,22.9,22.925,-1.02,9219.0,0.0,24106.0
2015-09-01,22.21,24.5,22.2,23.98,23.95,1.72,11856.0,0.0,22788.0
2015-08-31,21.1,22.25,21.1,22.25,22.225,1.02,6792.0,0.0,21241.0
2015-08-28,20.25,21.85,20.05,21.15,21.2,0.82,8749.0,0.0,21451.0
2015-08-27,19.95,20.86,19.45,20.34,20.375,0.25,9868.0,0.0,20199.0
2015-08-26,20.7,21.35,20.03,20.15,20.125,-0.68,10085.0,0.0,21104.0
2015-08-25,20.7,21.32,19.31,20.75,20.8,0.15,14886.0,0.0,21027.0
2015-08-24,18.73,21.4,18.63,20.63,20.65,1.98,26437.0,0.0,20810.0
2015-08-21,18.15,18.7,17.92,18.7,18.675,0.55,25748.0,0.0,21776.0
2015-08-20,17.57,18.15,17.45,18.15,18.125,0.55,11028.0,0.0,19043.0
2015-08-19,17.4,17.62,17.22,17.55,17.575,0.2,5766.0,0.0,19293.0
2015-08-18,17.2,17.45,17.16,17.35,17.375,0.15,3123.0,0.0,18772.0
2015-08-17,17.15,17.33,17.09,17.2,17.225,0.02,3869.0,0.0,18429.0
2015-08-14,17.33,17.42,17.1,17.25,17.2,-0.12,4131.0,0.0,18916.0
2015-08-13,17.38,17.54,17.2,17.35,17.325,-0.05,3979.0,0.0,18174.0
2015-08-12,17.45,18.11,17.35,17.35,17.375,-0.1,7985.0,0.0,18488.0
2015-08-11,17.2,17.64,17.15,17.45,17.475,0.3,3867.0,0.0,18027.0
2015-08-10,17.27,17.27,16.95,17.18,17.175,-0.1,2741.0,0.0,17384.0
2015-08-07,17.44,17.6,17.25,17.25,17.275,-0.15,3395.0,0.0,16988.0
2015-08-06,17.33,17.76,17.2,17.4,17.425,0.1,5552.0,0.0,16828.0
2015-08-05,17.39,17.39,17.07,17.3,17.325,-0.05,2618.0,0.0,16152.0
2015-08-04,17.25,17.4,17.18,17.35,17.375,0.1,3187.0,0.0,15754.0
2015-08-03,17.5,17.7,17.25,17.25,17.275,-0.2,3559.0,0.0,15397.0
2015-07-31,17.5,17.63,17.35,17.45,17.475,-0.05,2253.0,0.0,15288.0
2015-07-30,17.55,17.65,17.45,17.49,17.525,0.0,3056.0,0.0,15153.0
2015-07-29,17.5,17.55,17.35,17.5,17.525,0.0,3566.0,0.0,15169.0
2015-07-28,17.89,17.93,17.45,17.55,17.525,-0.35,3404.0,0.0,15285.0
2015-07-27,17.7,18.11,17.65,17.85,17.875,0.2,3318.0,0.0,15099.0
2015-07-24,17.6,17.83,17.46,17.65,17.675,0.15,4285.0,0.0,15168.0
2015-07-23,17.5,17.78,17.45,17.5,17.525,0.0,3784.0,0.0,15553.0
2015-07-22,17.5,17.7,17.45,17.5,17.525,0.1,2687.0,0.0,15263.0
2015-07-21,17.4,17.56,17.35,17.45,17.425,0.05,2329.0,0.0,14886.0
2015-07-20,17.5,17.5,17.25,17.4,17.375,-0.1,1826.0,0.0,14258.0
2015-07-17,17.5,17.55,17.35,17.5,17.475,0.0,1718.0,0.0,14037.0
2015-07-16,17.75,17.83,17.45,17.45,17.475,-0.3,2141.0,0.0,13530.0
2015-07-15,17.92,18.1,17.73,17.75,17.775,-0.15,1863.0,0.0,13269.0
2015-07-14,17.85,18.02,17.72,17.9,17.925,0.1,2512.0,0.0,12709.0
2015-07-13,18.85,18.86,17.8,17.85,17.825,-0.85,2639.0,0.0,12457.0
