Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2017-02-15,11.2,11.5,10.95,11.5,12.26,1.08,6382.0,0.0,63982.0
2017-02-14,11.4,11.55,11.05,11.1,11.175,-0.25,108477.0,0.0,65363.0
2017-02-13,11.7,11.75,11.35,11.4,11.425,-0.3,100223.0,0.0,93271.0
2017-02-10,12.05,12.1,11.7,11.73,11.725,-0.3,90936.0,0.0,126047.0
2017-02-09,12.55,12.6,11.9,12.05,12.025,-0.55,117961.0,0.0,137571.0
2017-02-08,12.6,12.85,12.43,12.6,12.575,0.0,106050.0,0.0,156302.0
2017-02-07,12.45,12.65,12.25,12.6,12.575,0.1,92149.0,280.0,170682.0
2017-02-06,12.4,12.85,12.3,12.49,12.475,0.0,95329.0,0.0,183913.0
2017-02-03,12.92,13.1,12.25,12.47,12.475,-0.45,93357.0,0.0,196602.0
2017-02-02,12.7,13.2,12.67,12.92,12.925,0.25,87648.0,0.0,196788.0
2017-02-01,12.95,13.0,12.48,12.68,12.675,-0.25,107162.0,0.0,201481.0
2017-01-31,12.9,13.45,12.85,12.95,12.925,0.05,115266.0,0.0,208237.0
2017-01-30,12.65,13.65,12.65,12.9,12.875,0.35,143820.0,0.0,219082.0
2017-01-27,12.7,12.85,12.5,12.55,12.525,-0.15,67485.0,0.0,237151.0
2017-01-26,12.7,12.95,12.6,12.7,12.675,-0.05,77413.0,0.0,238114.0
2017-01-25,13.0,13.0,12.6,12.75,12.725,-0.3,91473.0,0.0,249418.0
2017-01-24,13.6,13.7,12.9,13.03,13.025,-0.55,97448.0,0.0,256080.0
2017-01-23,13.85,14.1,13.55,13.55,13.575,-0.25,91333.0,0.0,256174.0
2017-01-20,14.25,14.35,13.7,13.82,13.825,-0.4,121666.0,0.0,265602.0
2017-01-19,14.2,14.5,14.05,14.25,14.225,0.05,102860.0,0.0,265696.0
2017-01-18,14.2,14.35,13.95,14.2,14.175,0.0,134665.0,0.0,282109.0
2017-01-17,14.15,14.77,14.1,14.2,14.175,-0.05,163367.0,0.0,306833.0
2017-01-13,14.3,14.45,14.05,14.2,14.225,-0.1,113493.0,0.0,276217.0
2017-01-12,14.2,14.93,14.15,14.35,14.325,0.1,130434.0,0.0,252188.0
2017-01-11,14.45,14.8,14.15,14.25,14.225,-0.25,104983.0,0.0,227390.0
2017-01-10,14.55,14.68,14.3,14.5,14.475,-0.05,86756.0,0.0,205559.0
2017-01-09,14.75,14.85,14.4,14.5,14.525,-0.15,85556.0,0.0,184261.0
2017-01-06,14.8,14.85,14.35,14.65,14.675,-0.15,87012.0,0.0,161449.0
2017-01-05,14.95,15.25,14.79,14.8,14.825,-0.15,63124.0,0.0,146979.0
2017-01-04,15.55,15.65,14.75,14.97,14.975,-0.6,79133.0,0.0,135875.0
2017-01-03,16.45,16.46,15.5,15.55,15.575,-1.0,78082.0,0.0,117881.0
2016-12-30,16.36,16.8,16.12,16.58,16.575,0.2,52993.0,0.0,104119.0
2016-12-29,16.2,16.55,16.07,16.36,16.375,0.15,44930.0,0.0,101265.0
2016-12-28,15.8,16.25,15.7,16.22,16.225,0.42,53928.0,0.0,98883.0
2016-12-27,15.95,16.0,15.7,15.8,15.8,-0.22,36686.0,0.0,96824.0
2016-12-23,15.97,16.1,15.85,16.01,16.025,0.05,38738.0,0.0,89457.0
2016-12-22,15.7,16.05,15.6,16.0,15.975,0.3,45299.0,0.0,84537.0
2016-12-21,15.75,15.85,15.55,15.66,15.675,-0.1,42410.0,0.0,82263.0
2016-12-20,16.0,16.07,15.73,15.76,15.775,-0.2,27263.0,0.0,74039.0
2016-12-19,16.42,16.42,15.95,16.0,15.975,-0.4,27341.0,0.0,69111.0
2016-12-16,16.44,16.67,16.31,16.38,16.375,-0.05,45053.0,242.0,62160.0
2016-12-15,16.55,16.65,16.35,16.42,16.425,-0.1,31381.0,0.0,54380.0
2016-12-14,16.74,16.97,16.43,16.54,16.525,-0.2,29818.0,0.0,47176.0
2016-12-13,16.74,17.02,16.53,16.74,16.725,0.0,28704.0,0.0,44293.0
2016-12-12,16.43,16.79,16.35,16.74,16.725,0.3,19059.0,0.0,43416.0
2016-12-09,16.72,16.85,16.4,16.4,16.425,-0.3,21068.0,0.0,43396.0
2016-12-08,16.64,17.0,16.52,16.72,16.725,0.1,22982.0,0.0,41926.0
2016-12-07,16.6,16.68,16.37,16.65,16.625,0.0,21429.0,0.0,40901.0
2016-12-06,16.9,16.95,16.58,16.6,16.625,-0.25,19529.0,0.0,39321.0
2016-12-05,17.7,18.0,16.85,16.85,16.875,-0.8,19908.0,0.0,36481.0
2016-12-02,17.55,17.75,17.26,17.69,17.675,0.1,18005.0,0.0,34141.0
