Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2015-03-18,15.7,16.05,15.55,16.05,15.67,0.04,3008.0,0.0,37946.0
2015-03-17,16.05,16.4,15.6,15.6,15.625,-0.5,55613.0,0.0,39090.0
2015-03-16,16.4,16.62,15.65,16.15,16.125,-0.3,63557.0,0.0,48560.0
2015-03-13,15.9,17.17,15.68,16.4,16.425,0.55,70136.0,0.0,63587.0
2015-03-12,17.22,17.23,15.8,15.85,15.875,-1.35,63915.0,0.0,75327.0
2015-03-11,16.9,17.45,16.48,17.25,17.225,0.3,71768.0,0.0,87418.0
2015-03-10,15.85,17.05,15.81,16.95,16.925,1.1,85182.0,0.0,101939.0
2015-03-09,16.2,16.35,15.7,15.8,15.825,-0.4,59320.0,198.0,112624.0
2015-03-06,15.35,16.5,15.3,16.2,16.225,0.9,96862.0,0.0,119138.0
2015-03-05,15.72,15.9,15.3,15.35,15.325,-0.4,60992.0,0.0,128527.0
2015-03-04,15.8,16.53,15.65,15.75,15.725,-0.05,74750.0,0.0,131925.0
2015-03-03,15.3,16.37,15.3,15.79,15.775,0.45,72917.0,1158.0,136954.0
2015-03-02,15.9,16.0,15.3,15.3,15.325,-0.5,56823.0,1626.0,144223.0
2015-02-27,16.0,16.27,15.7,15.85,15.825,-0.2,63466.0,434.0,143539.0
2015-02-26,16.4,16.65,15.9,16.0,16.025,-0.4,69705.0,0.0,148685.0
2015-02-25,16.1,16.6,15.55,16.4,16.425,0.3,102409.0,3916.0,152110.0
2015-02-24,17.03,17.09,16.1,16.1,16.125,-0.9,90124.0,1645.0,153512.0
2015-02-23,16.95,17.3,16.9,17.05,17.025,0.1,44184.0,0.0,143337.0
2015-02-20,17.64,18.1,16.8,16.9,16.925,-0.7,95712.0,520.0,155774.0
2015-02-19,17.9,18.25,17.55,17.6,17.625,-0.25,56750.0,539.0,157680.0
2015-02-18,18.25,18.45,17.85,17.9,17.875,-0.38,70440.0,498.0,154980.0
2015-02-17,18.15,18.57,18.0,18.25,18.25,0.1,80213.0,0.0,158944.0
2015-02-13,18.25,18.55,17.95,18.1,18.15,-0.08,91221.0,142.0,142969.0
2015-02-12,19.15,19.4,18.19,18.25,18.225,-0.85,94684.0,0.0,126655.0
2015-02-11,19.2,19.7,19.05,19.1,19.075,-0.08,51497.0,0.0,109502.0
2015-02-10,19.95,20.0,19.1,19.1,19.15,-0.78,49736.0,1153.0,101656.0
2015-02-09,19.6,20.3,19.6,19.95,19.925,0.38,39860.0,0.0,95257.0
2015-02-06,19.05,20.18,18.6,19.57,19.55,0.48,83419.0,0.0,91305.0
2015-02-05,19.85,20.08,18.93,19.05,19.075,-0.75,50614.0,0.0,85504.0
2015-02-04,19.05,19.85,18.9,19.83,19.825,0.75,55809.0,0.0,75776.0
2015-02-03,19.65,20.06,19.03,19.05,19.075,-0.55,51197.0,0.0,73118.0
2015-02-02,20.2,20.87,19.55,19.65,19.625,-0.62,58762.0,0.0,68574.0
2015-01-30,18.9,20.75,18.86,20.3,20.25,1.38,68557.0,0.0,65795.0
2015-01-29,20.05,20.27,18.85,18.89,18.875,-1.25,54567.0,164.0,59534.0
2015-01-28,18.05,20.2,17.82,20.15,20.125,2.05,57048.0,0.0,55886.0
2015-01-27,17.65,18.8,17.58,18.05,18.075,0.45,46718.0,125.0,54247.0
2015-01-26,18.8,19.2,17.6,17.63,17.625,-0.9,39701.0,0.0,50784.0
2015-01-23,18.15,18.65,17.95,18.53,18.525,0.4,30344.0,0.0,46238.0
2015-01-22,19.1,19.4,18.1,18.1,18.125,-0.9,40440.0,0.0,42873.0
2015-01-21,20.08,20.48,19.0,19.05,19.025,-1.0,41756.0,0.0,39385.0
2015-01-20,20.05,20.6,19.45,20.05,20.025,0.0,33394.0,420.0,37672.0
2015-01-16,20.39,20.85,19.8,20.05,20.025,-0.35,26092.0,0.0,35453.0
2015-01-15,19.6,20.41,19.16,20.38,20.375,0.75,27381.0,0.0,34373.0
2015-01-14,19.58,20.37,19.49,19.6,19.625,0.0,37979.0,0.0,33477.0
2015-01-13,19.28,20.0,18.72,19.6,19.625,0.35,34622.0,0.0,31219.0
2015-01-12,19.15,19.63,18.38,19.3,19.275,0.55,25783.0,0.0,30627.0
2015-01-09,17.95,18.75,17.75,18.75,18.725,0.75,24651.0,0.0,31457.0
