Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2011-04-20,0.0,0.0,0.0,0.0,14.86,-1.14,0.0,0.0,25520.0
2011-04-19,17.3,17.3,15.95,16.05,16.0,-1.3,15836.0,43.0,27335.0
2011-04-18,17.2,18.75,17.15,17.3,17.3,0.55,23547.0,0.0,30121.0
2011-04-15,18.0,18.11,16.7,16.75,16.75,-1.15,25330.0,38.0,32754.0
2011-04-14,18.55,19.05,17.8,17.9,17.9,-0.4,12519.0,18.0,43299.0
2011-04-13,18.4,18.67,18.05,18.3,18.3,-0.4,13219.0,0.0,45058.0
2011-04-12,18.65,19.3,18.43,18.7,18.7,0.3,18106.0,31.0,48017.0
2011-04-11,18.55,18.65,18.1,18.3,18.4,-0.25,9863.0,74.0,50062.0
2011-04-08,18.2,19.0,17.75,18.65,18.65,0.25,18595.0,28.0,50725.0
2011-04-07,18.35,18.95,18.15,18.35,18.4,0.05,12389.0,281.0,57935.0
2011-04-06,18.2,18.65,18.0,18.3,18.35,-0.2,8356.0,0.0,58646.0
2011-04-05,18.7,19.1,18.3,18.5,18.55,-0.15,19110.0,296.0,58970.0
2011-04-04,18.9,19.15,18.64,18.7,18.7,-0.35,7315.0,0.0,69486.0
2011-04-01,19.05,19.3,18.55,19.0,19.05,-0.25,10684.0,189.0,70356.0
2011-03-31,19.3,19.55,19.15,19.3,19.3,0.05,7797.0,204.0,69164.0
2011-03-30,19.35,19.55,19.1,19.25,19.25,-0.35,7229.0,0.0,70244.0
2011-03-29,20.3,20.6,19.55,19.55,19.6,-0.7,8989.0,247.0,69665.0
2011-03-28,19.8,20.4,19.55,20.3,20.3,0.55,9726.0,642.0,70069.0
2011-03-25,19.95,20.0,19.4,19.8,19.75,-0.2,14894.0,484.0,70429.0
2011-03-24,20.15,20.35,19.55,19.9,19.95,-0.55,17515.0,175.0,68981.0
2011-03-23,21.7,22.1,20.45,20.5,20.5,-1.0,15435.0,0.0,67884.0
2011-03-22,21.6,21.75,21.25,21.5,21.5,-0.1,11684.0,348.0,65206.0
2011-03-21,22.4,22.52,21.5,21.6,21.6,-1.75,18060.0,137.0,68303.0
2011-03-18,23.55,23.81,22.95,23.35,23.35,-0.8,19153.0,217.0,70178.0
2011-03-17,24.0,24.45,23.45,24.15,24.15,-0.75,22436.0,427.0,74731.0
2011-03-16,23.1,26.0,22.9,24.9,24.9,1.45,60819.0,753.0,79662.0
2011-03-15,24.0,24.9,22.65,23.4,23.45,1.15,35769.0,0.0,63721.0
2011-03-14,22.52,22.85,22.1,22.25,22.3,0.25,22348.0,77.0,60242.0
2011-03-11,23.0,23.0,21.8,22.0,22.05,-0.65,30334.0,0.0,58435.0
2011-03-10,21.8,22.73,21.8,22.68,22.7,0.9,20878.0,235.0,44055.0
2011-03-09,21.3,22.2,21.2,21.76,21.8,0.4,13391.0,0.0,41067.0
2011-03-08,21.8,22.2,21.15,21.35,21.4,-0.4,14411.0,0.0,37705.0
2011-03-07,21.2,22.3,20.72,21.76,21.8,0.65,14344.0,260.0,37036.0
2011-03-04,20.6,21.55,20.41,21.1,21.15,0.45,12761.0,0.0,34591.0
2011-03-03,20.85,21.0,20.59,20.65,20.7,-0.9,16570.0,176.0,28324.0
2011-03-02,21.65,21.8,20.93,21.55,21.6,-0.1,11073.0,51.0,29355.0
2011-03-01,20.15,21.75,20.1,21.65,21.7,1.4,13290.0,0.0,29350.0
2011-02-28,20.8,20.85,20.13,20.25,20.3,-0.85,11239.0,0.0,29204.0
2011-02-25,22.05,22.05,20.9,21.15,21.15,-1.2,11884.0,229.0,28526.0
2011-02-24,22.7,23.1,22.0,22.3,22.35,-0.2,12496.0,126.0,29201.0
2011-02-23,21.6,22.95,20.65,22.5,22.55,0.95,15523.0,0.0,29461.0
2011-02-22,20.4,21.81,20.39,21.55,21.6,1.8,14851.0,0.0,27359.0
2011-02-18,19.57,20.0,19.45,19.75,19.8,0.15,6782.0,0.0,26970.0
2011-02-17,19.2,19.75,19.2,19.6,19.65,0.3,10926.0,0.0,30985.0
2011-02-16,18.8,19.35,18.6,19.3,19.35,0.35,7800.0,0.0,29671.0
2011-02-15,18.95,19.05,18.75,18.95,19.0,0.05,7337.0,0.0,28774.0
2011-02-14,19.15,19.15,18.8,19.0,18.95,-0.2,4692.0,0.0,29291.0
2011-02-11,19.34,19.4,18.99,19.14,19.15,-0.15,5677.0,0.0,28611.0
2011-02-10,19.5,19.65,19.1,19.2,19.3,0.0,3986.0,0.0,27203.0
2011-02-09,19.5,19.59,19.19,19.3,19.3,-0.05,4272.0,0.0,26432.0
2011-02-08,19.5,19.77,19.2,19.3,19.35,-0.25,3012.0,0.0,25437.0
2011-02-07,19.77,19.9,19.35,19.65,19.6,-0.45,4646.0,0.0,24770.0
2011-02-04,20.25,20.55,19.9,20.0,20.05,-0.4,5242.0,0.0,24066.0
2011-02-03,20.8,20.95,20.25,20.4,20.45,-0.1,3709.0,0.0,22958.0
2011-02-02,20.63,20.7,20.32,20.5,20.55,-0.05,4255.0,0.0,22714.0
2011-02-01,21.05,21.18,20.38,20.55,20.6,-0.9,5489.0,0.0,22867.0
2011-01-31,21.6,21.6,21.08,21.45,21.5,-0.25,6293.0,0.0,21942.0
2011-01-28,20.59,21.85,20.3,21.7,21.75,1.05,7596.0,0.0,20867.0
2011-01-27,21.0,21.15,20.6,20.65,20.7,-0.3,4233.0,0.0,20633.0
2011-01-26,21.45,21.49,20.87,20.95,21.0,-0.6,4609.0,0.0,19749.0
2011-01-25,21.95,22.15,21.55,21.6,21.6,-0.25,5908.0,0.0,18762.0
2011-01-24,22.15,22.3,21.54,21.8,21.85,-0.35,3376.0,0.0,18135.0
2011-01-21,21.75,22.3,21.45,22.25,22.2,0.1,4281.0,0.0,17608.0
2011-01-20,22.25,22.55,21.9,22.15,22.1,-0.1,3476.0,0.0,16949.0
