Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2017-06-21,11.15,11.36,10.95,11.15,10.71,-0.42,4668.0,0.0,61476.0
2017-06-20,10.85,11.27,10.5,11.15,11.125,0.25,134462.0,0.0,56706.0
2017-06-19,11.3,11.35,10.6,10.9,10.875,-0.45,133587.0,0.0,88629.0
2017-06-16,11.55,11.8,11.3,11.32,11.325,-0.2,126293.0,0.0,111055.0
2017-06-15,11.5,12.35,11.49,11.55,11.525,0.05,158430.0,0.0,131065.0
2017-06-14,11.41,11.88,11.33,11.48,11.475,0.05,143988.0,0.0,155581.0
2017-06-13,11.85,11.94,11.35,11.45,11.425,-0.45,129050.0,0.0,166047.0
2017-06-12,11.75,12.4,11.7,11.88,11.875,0.15,157648.0,0.0,185868.0
2017-06-09,11.65,12.47,11.15,11.73,11.725,0.1,218949.0,0.0,201894.0
2017-06-08,11.9,11.95,11.4,11.6,11.625,-0.25,116710.0,0.0,213722.0
2017-06-07,11.99,12.25,11.8,11.89,11.875,-0.1,110218.0,0.0,216597.0
2017-06-06,11.79,12.1,11.75,11.95,11.975,0.2,102925.0,0.0,223996.0
2017-06-05,11.6,11.8,11.4,11.79,11.775,0.15,77091.0,0.0,239165.0
2017-06-02,11.61,11.8,11.5,11.64,11.625,0.0,85311.0,0.0,244253.0
2017-06-01,11.85,12.0,11.55,11.63,11.625,-0.2,122130.0,0.0,250579.0
2017-05-31,11.85,12.3,11.65,11.8,11.825,0.0,159871.0,0.0,248151.0
2017-05-30,11.95,12.2,11.75,11.83,11.825,-0.1,99568.0,0.0,260660.0
2017-05-26,12.0,12.25,11.8,11.95,11.925,-0.1,89896.0,0.0,269724.0
2017-05-25,11.95,12.2,11.8,12.05,12.025,0.05,146530.0,0.0,269910.0
2017-05-24,12.3,12.5,11.85,11.96,11.975,-0.35,128955.0,0.0,272621.0
2017-05-23,12.25,12.6,12.1,12.35,12.325,0.1,129554.0,600.0,258193.0
2017-05-22,12.85,12.95,12.2,12.2,12.225,-0.5,158721.0,0.0,257357.0
2017-05-19,14.2,14.24,12.65,12.75,12.725,-1.55,269066.0,0.0,263341.0
2017-05-18,14.25,14.7,13.5,14.25,14.275,0.05,336271.0,0.0,275594.0
2017-05-17,12.08,14.4,12.0,14.23,14.225,2.15,460895.0,0.0,295449.0
2017-05-16,12.19,12.25,12.0,12.1,12.075,-0.1,164466.0,0.0,332617.0
2017-05-15,12.35,12.45,12.13,12.15,12.175,-0.25,121965.0,0.0,310043.0
2017-05-12,12.6,12.75,12.4,12.41,12.425,-0.2,126077.0,0.0,283016.0
2017-05-11,12.47,12.85,12.4,12.61,12.625,0.15,167106.0,0.0,267612.0
2017-05-10,12.45,12.55,12.35,12.47,12.475,0.0,75756.0,0.0,261990.0
2017-05-09,12.47,12.5,12.25,12.48,12.475,0.0,122163.0,0.0,238059.0
2017-05-08,12.65,12.7,12.35,12.5,12.475,-0.2,86266.0,0.0,212348.0
2017-05-05,12.65,12.85,12.55,12.67,12.675,0.0,76059.0,0.0,191200.0
2017-05-04,12.95,13.05,12.6,12.67,12.675,-0.3,93559.0,0.0,179246.0
2017-05-03,12.8,13.02,12.75,12.95,12.975,0.15,85876.0,0.0,161668.0
2017-05-02,12.64,12.85,12.55,12.82,12.825,0.2,74228.0,0.0,152471.0
2017-05-01,13.1,13.17,12.6,12.6,12.625,-0.5,72567.0,0.0,138573.0
2017-04-28,13.1,13.3,13.05,13.11,13.125,0.0,65703.0,0.0,125706.0
2017-04-27,13.2,13.3,13.1,13.1,13.125,-0.05,58047.0,0.0,122851.0
2017-04-26,13.1,13.37,13.05,13.19,13.175,0.05,69400.0,0.0,114956.0
2017-04-25,13.3,13.4,13.0,13.1,13.125,-0.2,75903.0,0.0,107706.0
2017-04-24,13.85,13.85,13.3,13.3,13.325,-0.9,116559.0,0.0,96689.0
2017-04-21,14.31,14.58,14.2,14.24,14.225,-0.1,74363.0,0.0,82548.0
2017-04-20,14.52,14.63,14.2,14.34,14.325,-0.2,78190.0,0.0,78741.0
2017-04-19,14.55,14.7,14.1,14.53,14.525,0.0,98992.0,0.0,74505.0
2017-04-18,14.6,14.85,14.45,14.54,14.525,-0.05,41030.0,0.0,64073.0
2017-04-17,15.25,15.35,14.55,14.55,14.575,-0.7,26016.0,0.0,66342.0
2017-04-13,15.15,15.3,14.66,15.27,15.275,0.25,39647.0,0.0,65437.0
2017-04-12,14.85,15.2,14.73,15.02,15.025,0.15,36636.0,0.0,63414.0
2017-04-11,14.79,15.25,14.75,14.88,14.875,0.1,42330.0,0.0,61132.0
2017-04-10,14.55,14.83,14.4,14.79,14.775,0.25,28427.0,0.0,57451.0
2017-04-07,14.19,14.55,14.1,14.55,14.525,0.35,29828.0,0.0,55140.0
2017-04-06,14.57,14.65,14.05,14.15,14.175,-0.35,20752.0,0.0,53503.0
2017-04-05,14.12,14.65,13.85,14.55,14.525,0.4,27457.0,0.0,51029.0
2017-04-04,14.3,14.46,14.05,14.13,14.125,-0.15,18866.0,0.0,49140.0
2017-04-03,14.2,14.45,14.14,14.27,14.275,0.02,22795.0,0.0,47690.0
2017-03-31,14.18,14.31,14.1,14.25,14.25,0.08,16651.0,0.0,47687.0
2017-03-30,14.2,14.35,14.1,14.17,14.175,-0.05,17637.0,0.0,47152.0
2017-03-29,14.4,14.4,14.15,14.23,14.225,-0.15,16793.0,0.0,44976.0
2017-03-28,14.7,14.75,14.36,14.37,14.375,-0.35,23828.0,0.0,42341.0
2017-03-27,15.15,15.57,14.7,14.73,14.725,-0.4,26243.0,0.0,42162.0
2017-03-24,15.48,15.69,15.08,15.12,15.125,-0.35,26830.0,0.0,38657.0
2017-03-23,15.26,15.58,15.0,15.5,15.475,0.2,23677.0,0.0,36659.0
2017-03-22,15.35,15.63,15.1,15.27,15.275,-0.1,37496.0,0.0,35627.0
2017-03-21,15.0,15.43,14.75,15.35,15.375,0.4,22379.0,0.0,34701.0
2017-03-20,15.07,15.2,14.9,14.99,14.975,-0.1,11725.0,0.0,34781.0
2017-03-17,15.25,15.27,14.95,15.1,15.075,-0.15,12524.0,0.0,33241.0
2017-03-16,15.52,15.55,15.15,15.24,15.225,-0.3,10188.0,0.0,33296.0
2017-03-15,15.8,15.8,15.5,15.54,15.525,-0.25,11651.0,0.0,31794.0
2017-03-14,15.65,15.93,15.55,15.75,15.775,0.12,13906.0,0.0,32649.0
2017-03-13,15.8,15.9,15.63,15.65,15.65,-0.12,8652.0,0.0,31936.0
2017-03-10,15.9,16.0,15.75,15.79,15.775,-0.15,5412.0,0.0,32749.0
2017-03-09,16.0,16.15,15.77,15.95,15.925,-0.05,10965.0,0.0,32956.0
2017-03-08,16.0,16.18,15.74,15.98,15.975,-0.05,6432.0,0.0,32868.0
2017-03-07,16.0,16.08,15.8,16.05,16.025,0.05,5600.0,0.0,33130.0
2017-03-06,16.05,16.22,15.95,15.99,15.975,-0.1,5902.0,0.0,33712.0
2017-03-03,16.41,16.5,16.03,16.07,16.075,-0.35,6343.0,0.0,34016.0
2017-03-02,16.35,16.55,16.27,16.41,16.425,0.1,6745.0,0.0,33592.0
2017-03-01,16.5,16.5,16.0,16.32,16.325,-0.1,8595.0,0.0,33434.0
2017-02-28,16.3,16.65,16.29,16.44,16.425,0.1,8230.0,0.0,33483.0
2017-02-27,16.6,16.65,16.25,16.3,16.325,-0.35,7415.0,0.0,33861.0
2017-02-24,16.55,17.0,16.54,16.68,16.675,0.15,11801.0,0.0,33231.0
2017-02-23,16.05,16.6,16.05,16.55,16.525,0.45,11076.0,0.0,32316.0
2017-02-22,15.93,16.25,15.88,16.06,16.075,0.1,7416.0,0.0,30956.0
2017-02-21,15.8,15.97,15.6,15.96,15.975,0.2,6631.0,0.0,30716.0
2017-02-17,15.65,15.96,15.63,15.8,15.775,0.1,7896.0,0.0,30821.0
2017-02-16,15.48,16.13,15.45,15.69,15.675,0.2,11034.0,0.0,30588.0
2017-02-15,15.8,15.9,15.45,15.5,15.475,-0.3,18769.0,0.0,31054.0
2017-02-14,16.4,16.45,15.75,15.75,15.775,-0.65,12836.0,0.0,32269.0
2017-02-13,16.7,16.72,16.4,16.45,16.425,-0.3,6744.0,0.0,31710.0
2017-02-10,16.75,16.75,16.6,16.72,16.725,0.0,9046.0,0.0,30099.0
2017-02-09,16.9,16.92,16.65,16.74,16.725,-0.15,5734.0,0.0,27150.0
2017-02-08,16.79,16.99,16.7,16.9,16.875,0.1,10578.0,0.0,26643.0
2017-02-07,16.72,16.83,16.6,16.76,16.775,0.05,5686.0,0.0,24187.0
2017-02-06,16.62,16.75,16.52,16.72,16.725,0.05,3356.0,0.0,23221.0
2017-02-03,16.83,16.9,16.55,16.67,16.675,-0.15,3706.0,0.0,22977.0
2017-02-02,16.7,16.9,16.63,16.83,16.825,0.15,4251.0,0.0,22677.0
2017-02-01,16.85,16.9,16.6,16.68,16.675,-0.2,5665.0,0.0,22351.0
2017-01-31,16.95,17.18,16.85,16.85,16.875,-0.1,3844.0,0.0,21717.0
2017-01-30,16.95,17.41,16.95,16.97,16.975,0.05,6417.0,0.0,21158.0
2017-01-27,16.85,17.0,16.8,16.9,16.925,0.1,4486.0,0.0,21081.0
2017-01-26,16.8,16.92,16.7,16.83,16.825,0.05,3965.0,0.0,20258.0
2017-01-25,16.96,17.01,16.75,16.75,16.775,-0.25,5070.0,0.0,19767.0
2017-01-24,17.53,17.6,16.95,17.05,17.025,-0.5,6606.0,0.0,19552.0
2017-01-23,17.75,17.9,17.53,17.53,17.525,-0.2,4240.0,0.0,18827.0
2017-01-20,17.95,18.0,17.58,17.75,17.725,-0.2,6072.0,0.0,18291.0
2017-01-19,18.1,18.23,17.93,17.93,17.925,-0.2,4929.0,0.0,18036.0
2017-01-18,18.25,18.3,17.95,18.1,18.125,-0.1,9986.0,0.0,18298.0
2017-01-17,18.15,18.4,18.06,18.25,18.225,0.1,5124.0,0.0,16844.0
2017-01-13,17.97,18.17,17.88,18.13,18.125,0.15,5007.0,0.0,15948.0
2017-01-12,17.78,18.22,17.78,17.95,17.975,0.15,2058.0,0.0,14578.0
2017-01-11,17.86,18.18,17.75,17.82,17.825,-0.1,3096.0,0.0,14514.0
2017-01-10,18.0,18.12,17.8,17.93,17.925,0.0,2395.0,0.0,13973.0
2017-01-09,18.02,18.09,17.78,17.9,17.925,-0.1,2883.0,0.0,13804.0
2017-01-06,18.2,18.2,17.85,18.0,18.025,-0.15,2180.0,0.0,14167.0
2017-01-05,18.2,18.42,18.15,18.15,18.175,-0.05,1909.0,0.0,14245.0
2017-01-04,18.63,18.66,18.11,18.25,18.225,-0.4,3727.0,0.0,14692.0
2017-01-03,19.08,19.1,18.6,18.65,18.625,-0.45,3400.0,0.0,14157.0
2016-12-30,19.0,19.32,18.85,19.09,19.075,0.05,2743.0,0.0,14167.0
2016-12-29,18.94,19.17,18.89,19.0,19.025,0.1,2563.0,0.0,13601.0
