Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2014-07-16,0.0,0.0,0.0,0.0,11.03,-1.17,0.0,0.0,32194.0
2014-07-15,12.03,12.52,11.78,12.2,12.2,0.15,81456.0,0.0,39553.0
2014-07-14,12.55,12.55,11.8,12.05,12.05,-0.6,58333.0,36.0,56561.0
2014-07-11,12.95,13.0,12.55,12.65,12.65,-0.35,68686.0,0.0,74966.0
2014-07-10,12.2,13.35,12.2,13.0,13.0,0.75,112652.0,200.0,96283.0
2014-07-09,12.35,12.4,12.05,12.25,12.25,-0.15,84736.0,0.0,115829.0
2014-07-08,12.15,12.75,12.1,12.35,12.4,0.25,96004.0,0.0,133493.0
2014-07-07,11.75,12.2,11.7,12.1,12.15,0.35,54064.0,0.0,148269.0
2014-07-03,11.91,12.0,11.65,11.8,11.8,-0.15,42840.0,473.0,156985.0
2014-07-02,12.1,12.15,11.8,11.95,11.95,-0.15,48123.0,0.0,159054.0
2014-07-01,12.45,12.5,11.95,12.1,12.1,-0.35,68520.0,0.0,166450.0
2014-06-30,12.65,12.7,12.3,12.45,12.45,-0.2,56247.0,0.0,170228.0
2014-06-27,12.75,12.95,12.5,12.6,12.65,-0.1,48904.0,0.0,174871.0
2014-06-26,12.65,13.1,12.45,12.75,12.75,0.1,76333.0,0.0,182933.0
2014-06-25,13.05,13.35,12.5,12.62,12.65,-0.45,82266.0,0.0,188828.0
2014-06-24,12.6,13.2,12.45,13.05,13.1,0.5,85560.0,385.0,194364.0
2014-06-23,12.91,12.97,12.5,12.55,12.6,-0.3,66646.0,1964.0,202097.0
2014-06-20,12.8,12.95,12.55,12.9,12.9,0.1,54191.0,538.0,208365.0
2014-06-19,12.65,12.8,12.45,12.79,12.8,0.1,67203.0,368.0,211361.0
2014-06-18,13.43,13.5,12.6,12.65,12.7,-0.75,110906.0,435.0,216151.0
2014-06-17,13.76,13.85,13.3,13.44,13.45,-0.35,97033.0,0.0,210226.0
2014-06-16,13.85,14.12,13.65,13.75,13.8,0.0,60183.0,0.0,203095.0
2014-06-13,14.15,14.3,13.7,13.8,13.8,-0.35,80309.0,0.0,194333.0
2014-06-12,13.5,14.35,13.35,14.12,14.15,0.65,103723.0,0.0,181436.0
2014-06-11,13.2,13.7,13.2,13.48,13.5,0.25,61206.0,0.0,161886.0
2014-06-10,13.45,13.67,13.2,13.24,13.25,-0.2,44268.0,0.0,152687.0
2014-06-09,13.3,13.5,13.1,13.45,13.45,0.15,51625.0,0.0,146406.0
