Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2012-08-22,0.0,0.0,0.0,0.0,15.13,0.23,0.0,0.0,35698.0
2012-08-21,14.65,15.3,14.35,14.9,14.9,0.25,33878.0,107.0,45773.0
2012-08-20,15.25,15.45,14.6,14.64,14.65,-0.45,27490.0,273.0,55014.0
2012-08-17,15.9,16.06,14.98,15.09,15.1,-0.8,31032.0,237.0,62633.0
2012-08-16,16.2,16.7,15.85,15.89,15.9,-0.3,27756.0,285.0,68693.0
2012-08-15,16.65,16.71,16.05,16.2,16.2,-0.2,18642.0,264.0,76969.0
2012-08-14,15.75,16.65,15.45,16.4,16.4,0.6,28916.0,339.0,82019.0
2012-08-13,16.6,16.6,15.6,15.8,15.8,-0.55,27381.0,859.0,89464.0
2012-08-10,16.9,17.1,16.25,16.35,16.35,-0.2,22704.0,658.0,91824.0
2012-08-09,16.95,17.15,16.5,16.55,16.55,-0.25,25039.0,856.0,97112.0
2012-08-08,17.75,17.9,16.65,16.8,16.8,-0.85,28976.0,497.0,98507.0
2012-08-07,16.8,17.7,16.7,17.65,17.65,0.8,26898.0,495.0,102683.0
2012-08-06,17.2,17.35,16.8,16.84,16.85,-0.35,28804.0,636.0,106837.0
2012-08-03,18.45,18.45,17.15,17.2,17.2,-1.5,41449.0,682.0,109419.0
2012-08-02,19.25,20.6,18.6,18.67,18.7,-1.0,49426.0,0.0,112640.0
2012-08-01,19.65,19.95,19.2,19.7,19.7,-0.2,34347.0,0.0,115530.0
2012-07-31,19.25,20.08,19.25,19.9,19.9,0.4,27098.0,428.0,119191.0
2012-07-30,18.7,19.51,18.5,19.5,19.5,0.9,29915.0,519.0,126202.0
2012-07-27,19.15,19.15,18.5,18.58,18.6,-0.55,38512.0,1265.0,130530.0
2012-07-26,20.25,20.32,19.1,19.14,19.15,-1.95,42559.0,782.0,133941.0
2012-07-25,21.45,22.15,20.8,21.1,21.1,-0.75,38393.0,418.0,137750.0
2012-07-24,21.05,22.15,20.55,21.85,21.85,1.05,45328.0,998.0,145951.0
2012-07-23,20.05,21.6,20.05,20.78,20.8,1.65,51541.0,1703.0,153062.0
2012-07-20,18.65,19.47,18.55,19.12,19.15,0.95,36812.0,1033.0,157956.0
2012-07-19,18.5,19.0,18.15,18.19,18.2,-0.45,37748.0,2089.0,161117.0
2012-07-18,18.6,18.85,18.2,18.65,18.65,0.1,36877.0,2391.0,161748.0
2012-07-17,19.0,19.45,18.35,18.52,18.55,-0.75,52904.0,584.0,160046.0
2012-07-16,19.6,19.67,19.0,19.27,19.3,-0.05,35354.0,1501.0,150750.0
2012-07-13,20.5,20.5,19.3,19.32,19.35,-1.25,46220.0,3668.0,143473.0
