Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2013-11-20,0.0,0.0,0.0,0.0,14.12,0.52,0.0,0.0,54946.0
2013-11-19,13.27,13.65,13.13,13.58,13.6,0.3,58693.0,0.0,58253.0
2013-11-18,12.95,13.32,12.68,13.28,13.3,0.35,67180.0,85.0,72151.0
2013-11-15,13.08,13.15,12.85,12.93,12.95,-0.1,63059.0,35.0,81175.0
2013-11-14,13.25,13.35,13.0,13.03,13.05,-0.2,47717.0,104.0,98470.0
2013-11-13,13.35,13.75,13.2,13.24,13.25,-0.1,54109.0,203.0,109056.0
2013-11-12,13.3,13.53,13.22,13.33,13.35,0.05,39369.0,291.0,116867.0
2013-11-11,13.65,13.75,13.25,13.27,13.3,-0.3,36861.0,148.0,122703.0
2013-11-08,14.25,14.35,13.5,13.58,13.6,-0.65,59075.0,188.0,126957.0
2013-11-07,13.65,14.4,13.48,14.22,14.25,0.55,54543.0,0.0,131714.0
2013-11-06,14.0,14.05,13.65,13.66,13.7,-0.3,44907.0,224.0,136708.0
2013-11-05,13.95,14.3,13.85,13.98,14.0,0.05,52337.0,823.0,145834.0
2013-11-04,14.35,14.45,13.9,13.92,13.95,-0.5,39364.0,1121.0,141462.0
2013-11-01,14.45,14.7,14.3,14.44,14.45,-0.05,32784.0,203.0,142306.0
2013-10-31,14.55,14.76,14.25,14.48,14.5,-0.05,39736.0,2195.0,146035.0
2013-10-30,14.45,14.95,14.35,14.54,14.55,0.1,55628.0,281.0,150610.0
2013-10-29,14.55,14.68,14.35,14.43,14.45,-0.1,31234.0,1029.0,152971.0
2013-10-28,14.45,14.75,14.45,14.55,14.55,0.05,27787.0,538.0,154559.0
2013-10-25,14.5,14.75,14.44,14.47,14.5,0.05,30715.0,1855.0,157296.0
2013-10-24,14.45,14.8,14.4,14.45,14.45,-0.25,38761.0,516.0,157993.0
2013-10-23,14.95,15.27,14.65,14.67,14.7,0.1,59401.0,532.0,157349.0
2013-10-22,14.55,14.8,14.2,14.59,14.6,0.0,61217.0,2094.0,161293.0
2013-10-21,14.35,14.8,14.15,14.58,14.6,0.25,52365.0,1032.0,159630.0
2013-10-18,14.45,14.8,14.2,14.33,14.35,-0.2,76422.0,3774.0,164228.0
2013-10-17,15.65,15.8,14.5,14.52,14.55,-1.0,108501.0,3868.0,172803.0
2013-10-16,17.25,17.27,15.5,15.55,15.55,-1.75,137121.0,2125.0,166165.0
2013-10-15,16.6,17.75,16.45,17.27,17.3,0.65,107055.0,0.0,164094.0
2013-10-14,17.0,17.35,16.38,16.62,16.65,0.25,94245.0,0.0,150688.0
2013-10-11,16.8,16.85,16.1,16.38,16.4,-0.45,71565.0,0.0,141428.0
2013-10-10,18.5,18.65,16.7,16.85,16.85,-1.85,93392.0,693.0,140939.0
2013-10-09,19.0,19.42,18.15,18.7,18.7,-0.4,105692.0,0.0,141838.0
2013-10-08,18.2,19.19,18.15,19.08,19.1,0.75,114502.0,1490.0,130713.0
2013-10-07,17.7,18.38,17.42,18.34,18.35,1.35,74210.0,181.0,118163.0
2013-10-04,17.3,17.6,16.9,16.99,17.0,-0.45,49842.0,0.0,108675.0
2013-10-03,16.85,17.8,16.75,17.43,17.45,0.55,87139.0,0.0,103400.0
2013-10-02,16.5,16.9,16.39,16.88,16.9,0.65,51141.0,0.0,96831.0
2013-10-01,16.7,16.92,16.2,16.21,16.25,-0.65,46667.0,0.0,89434.0
2013-09-30,16.85,17.02,16.48,16.88,16.9,0.55,58462.0,0.0,85647.0
2013-09-27,16.05,16.55,16.0,16.33,16.35,0.4,42833.0,0.0,85171.0
2013-09-26,16.1,16.17,15.85,15.92,15.95,-0.25,37627.0,168.0,83351.0
2013-09-25,16.3,16.43,16.08,16.18,16.2,-0.05,36303.0,0.0,79791.0
2013-09-24,16.43,16.45,16.0,16.23,16.25,-0.15,29107.0,0.0,76766.0
2013-09-23,16.27,16.6,16.03,16.38,16.4,0.25,35135.0,0.0,76893.0
2013-09-20,15.9,16.25,15.78,16.12,16.15,0.25,38697.0,111.0,75780.0
2013-09-19,15.75,16.05,15.68,15.87,15.9,0.0,34568.0,0.0,74034.0
2013-09-18,16.25,16.46,15.65,15.91,15.9,-0.4,41107.0,0.0,69890.0
2013-09-17,16.35,16.4,16.13,16.25,16.3,-0.15,13168.0,0.0,62238.0
2013-09-16,16.2,16.5,16.1,16.4,16.45,-0.2,19375.0,0.0,60247.0
2013-09-13,16.7,16.85,16.43,16.6,16.65,-0.05,21255.0,0.0,57646.0
2013-09-12,16.65,16.89,16.4,16.65,16.7,0.0,15828.0,0.0,54483.0
2013-09-11,17.1,17.14,16.5,16.65,16.7,-0.45,19698.0,0.0,52400.0
2013-09-10,17.3,17.32,17.0,17.1,17.15,-0.4,17731.0,0.0,49779.0
2013-09-09,18.05,18.05,17.45,17.5,17.55,-0.65,17233.0,0.0,49864.0
2013-09-06,17.9,18.5,17.65,18.15,18.2,0.2,27025.0,0.0,48952.0
2013-09-05,18.0,18.15,17.83,17.96,18.0,-0.1,17035.0,0.0,44871.0
2013-09-04,18.15,18.3,17.95,18.05,18.1,-0.1,13915.0,0.0,44574.0
2013-09-03,18.3,18.4,17.8,18.15,18.2,-0.45,23168.0,0.0,43498.0
2013-08-30,18.3,18.86,18.3,18.6,18.65,0.2,20902.0,0.0,43049.0
2013-08-29,18.2,18.57,18.0,18.43,18.45,0.05,19538.0,0.0,42625.0
2013-08-28,18.4,18.61,17.91,18.35,18.4,0.0,18551.0,0.0,42347.0
2013-08-27,17.45,18.45,17.4,18.4,18.4,1.1,31645.0,0.0,40596.0
2013-08-26,16.95,17.45,16.6,17.3,17.3,0.35,19058.0,0.0,40080.0
2013-08-23,17.01,17.06,16.8,16.9,16.95,-0.1,11712.0,0.0,40243.0
2013-08-22,17.5,17.55,16.95,17.0,17.05,-0.6,17463.0,0.0,38511.0
2013-08-21,17.5,17.77,16.93,17.63,17.65,0.2,30268.0,0.0,37501.0
2013-08-20,17.65,17.73,17.0,17.41,17.45,-0.25,14817.0,0.0,38310.0
2013-08-19,17.45,17.7,17.28,17.66,17.7,0.25,11987.0,1.0,38123.0
2013-08-16,17.5,17.6,17.05,17.4,17.45,-0.15,16194.0,0.0,37826.0
2013-08-15,17.3,17.66,17.25,17.57,17.6,0.4,15708.0,6.0,37419.0
