Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2015-12-16,20.7,20.9,19.85,19.9,19.23,-1.4,2260.0,0.0,30765.0
2015-12-15,22.45,22.6,20.25,20.64,20.625,-1.8,73615.0,0.0,32328.0
2015-12-14,23.85,25.4,21.8,22.45,22.425,-1.22,145329.0,112.0,40424.0
2015-12-11,19.35,24.28,18.95,23.7,23.65,4.32,192603.0,0.0,52818.0
2015-12-10,18.95,19.45,18.3,19.35,19.325,0.35,98424.0,0.0,67586.0
2015-12-09,17.8,19.4,17.06,18.99,18.975,1.2,147500.0,0.0,84023.0
2015-12-08,16.5,18.2,16.5,17.8,17.775,1.25,106915.0,0.0,91485.0
2015-12-07,16.2,17.6,16.03,16.5,16.525,0.3,101365.0,0.0,102902.0
2015-12-04,18.3,18.35,16.2,16.25,16.225,-2.1,133037.0,0.0,114936.0
2015-12-03,16.8,19.1,16.18,18.35,18.325,1.55,167637.0,0.0,116166.0
2015-12-02,16.2,17.15,16.0,16.8,16.775,0.65,105192.0,0.0,127055.0
2015-12-01,17.0,17.03,16.08,16.15,16.125,-0.85,79570.0,0.0,137932.0
2015-11-30,17.1,17.45,16.85,17.0,16.975,-0.2,70170.0,0.0,136976.0
2015-11-27,16.8,17.2,16.51,17.2,17.175,0.4,45653.0,0.0,144060.0
2015-11-25,17.4,17.62,16.75,16.8,16.775,-0.65,60392.0,0.0,151341.0
2015-11-24,17.05,18.0,17.0,17.45,17.425,0.4,85334.0,0.0,150397.0
2015-11-23,17.45,17.8,16.95,17.0,17.025,-0.4,66972.0,0.0,157170.0
2015-11-20,18.2,18.3,17.35,17.4,17.425,-0.75,75912.0,0.0,154580.0
2015-11-19,17.75,18.5,17.4,18.15,18.175,0.4,89655.0,0.0,157880.0
2015-11-18,18.5,18.8,17.55,17.8,17.775,-0.75,104439.0,0.0,160982.0
2015-11-17,17.9,19.25,17.55,18.55,18.525,0.65,133715.0,0.0,164847.0
2015-11-16,20.25,20.7,17.8,17.85,17.875,-2.0,140377.0,0.0,162711.0
2015-11-13,18.7,20.05,18.52,19.87,19.875,1.15,113810.0,0.0,152543.0
2015-11-12,17.35,18.85,17.05,18.75,18.725,1.35,110363.0,0.0,147809.0
2015-11-11,16.95,17.4,16.65,17.4,17.375,0.45,48358.0,0.0,143733.0
